,Country,Anthem,cluster,cluster_names
48,Colombia,"oh, unwithering glory! oh, immortal jubilance! in furrows of pain, goodness now germinates. the dreadful night has ceased. sublime liberty beams forth the dawn of her invincible light. all of humanity that groans within its chains, understands the words of he who died on the cross. ""independence!"" shouts the american world; the land of columbus. is bathed in heroes' blood. but this great doctrine; ""the king is not the sovereign"", resounds, and those who suffer bless their passion. the orinoco's bed is heaped with plunder, of blood and tears a river is seen to flow. neither souls nor eyes, know whether admiration to feel or fear to suffer. on the shores of the caribbean, a famished people fight, preferring horror to fickle health. o, aye! from cartagena heavy is the hardship, and death's rubble her virtue disdains from in the fields, the genius of glory, from every sprig a hero was crowned undefeated. soldiers without armor won the victory; their virile spirit served them as a shield. bolívar crosses the andes bathed by two oceans, swords as though sparks flash in . indomitable centaurs descend to the plains, and a premonition begins to be felt, of the epic's end. the victorious trumpet in ayacucho loudly thunders, as in every triumph grows its formidable sound. in its expansive thrust liberty is first felt, from the american sky forming a pavilion. in agony, the virgin tears out her hair, and bereft of her love, leaves it to hang on a cypress. regretting her hope covered by a cold headstone, but glorious pride hallows her fair skin. thus the motherland is formed, thermopylaes bursting forth; a constellation of cyclops the night did brighten. the trembling flower finding the wind mortal, underneath the laurels safety sought. but it's not complete glory to defeat in battle, the arm that fights is encouraged by truth. for independence alone the great clamour doesn't silence; if the sun shines on everyone, justice is liberty. of men the rights preaching, the soul of struggle was prophetically taught. ricaurte in san mateo, in atoms flying, ""duty before life,"" with flames he wrote.",0,Echoes of Sacred Freedom
49,Ecuador,"we greet you, oh fatherland, a thousand times! oh fatherland, glory be to you! glory be to you! your breast, your breast, overflows, your breast overflows with joy and peace; and your radiant face, your radiant face is brighter than the shining sun we see. your children were outraged by the yoke that iberian audacity imposed on you, by the unjust and horrendous disgrace fatally weighing upon you. they cried out a holy voice to the heavens, that noble voice of a unbreakable pledge, to defeat that monster of blood, that this servile yoke would disappear. the first ones, the sons of the soil which pichincha adorns proudly, they declared you as their sovereign lady forever and shed their blood for you. god observed and accepted the holocaust, and that blood was the prolific seed of other heroes whom the world in astonishment saw rise up around you by the thousands. rise up by the thousands, rise up by the thousands. of those heroes of iron arm no land was invincible, and from the valley to the highest sierra you could hear the roar of the fray. after the fray, victory would fly, freedom after the triumph would come, and the lion was heard broken with a roar of helplessness and despair. at last spanish ferocity yielded, and now, oh fatherland, your free existence is the noble and magnificent heritage which the felicitous heroism gave us.: it was given to us from our fathers' hands, let no one take it from us now, nor any daring fool wish to excite our vengeful anger against himself. may no one, oh fatherland, try it. the shadows of your glorious heroes watch us, and the valor and pride that they inspire are omens of victories for you. come lead and the striking iron, that the idea of war and revenge wakes the heroic strength that made the fierce spanish succumb. and if new chains are prepared by the barbaric injustice of fate, great pichincha! may you prevent the death of the country and their children in the end; sink to the deep point in your gut all that exists on your soil. let the tyrant tread only ashes and in vain look for any trace of being beside you.",0,Echoes of Sacred Freedom
50,Guyana,"dear land of guyana, of rivers and plains made rich by the sunshine, and lush by the rains, set gem-like and fair, between mountains and seas, your children salute you, dear land of the free. green land of guyana, our heroes of yore, both bondsmen and free, laid their bones on your shore. this soil so they hallowed, and from them are we, all sons of one mother, guyana the free. great land of guyana, diverse though our strains, we're born of their sacrifice, heirs of their pains, and ours is the glory their eyes did not see, one land of six peoples, united and free. dear land of guyana, to you will we give, our homage, our service, each day that we live; god guard you, great mother, and make us to be more worthy our heritage, land of the free.",1,O Motherly Nature
51,Paraguay,"the peoples of the americas, unfortunately, were oppressed for three centuries by a scepter but one magnificent day surging forth, ""enough!"", it said, and the scepter was broken. our fathers, grandiose in battle, showed their martial glory; and after smashing the august diadem, the triumphal cap was raised. paraguayans: republic or death! our spirit gave us liberty neither oppressors nor slaves exist where union and equality reign. a new rome, the fatherland shall proudly display two leaders of name and valor who, rivals, like romulus and remus divided government and power. these long years when, during which phoebus in the clouds saw darken the pearl of the south, today a grand hero appears raising up again her glory and virtue, europe and the entire world to her gives salutes and also acclaimations to that invincible bastion of heroism, the magnificent eden of riches. when discord rumbled all around which fatally devoured other peoples, paraguayans, the sacred ground was covered by an angel with its wings. oh, how pure, of laurel girded sweet fatherland, in this manner you show yourself. in your ensign one sees the colors of sapphire, diamond, and ruby. in your coat of arms, which the sun illuminates, under the cap, one sees the lion. double image of the strong and the free, and of glories, the memory and crest. from the tomb of vile feudalism the national deity rises free; oppressors, bend your knees! compatriots, entone the hymn! sound the cry, ""republic or death""! our breasts exhale it with faith, and the mountains repeat its echoes like giants arising in the land. our fatherland defends liberty and justice; so tyrants: listen! the laws in its sacred charter will sustain its heroism in the fight. against the world, if the world opposes it, if the world dares to insult her security, battling to avenge we shall know her or die embracing her. arise, oh people, your splendid sword that strikes with sparkles of god, there is no middle ground between free or slave and an abyss divides the two. in the gentle breezes the hymn resounds, repeating with triumphal echo: for the free, renowned glory! for the fatherland, immortal laurel!",3,Glorious Homeland
52,Peru,"we are free! may we always be so, may we always be so! and may the sun renounce its light, its light, its light, before we break the solemn vow which the homeland lifted up to the eternal, before we break the solemn vow which the homeland lifted up to the eternal. before we break the solemn vow which the homeland lifted up to the eternal. for a long time the oppressed peruvian the ominous chain he dragged condemned to a cruel servitude for a long time, for a long time for a long time he quietly moaned but as soon as the sacred cry freedom! in its coasts was heard the slaves' indolence shakes the humiliated, the humiliated, the humiliated neck raised up, the humiliated neck raised up, neck raised up we are free! may we always be so, may we always be so! and may the sun renounce its light, its light, its light, before we break the solemn vow which the homeland lifted up to the eternal, before we break the solemn vow which the homeland lifted up to the eternal. before we break the solemn vow which the homeland lifted up to the eternal. now the roar of rough chains that we had heard for three centuries of horror from the free, at the sacred cry that the world heard astonished, ceased. everywhere the inflamed san martín ""freedom"", ""freedom"" he pronounced; and the andes, rocking their base, announced it as well, in unison. with its influx the peoples woke up, and like lighting ran the opinion; from the isthmus to the tierra del fuego, and from tierra del fuego to the icy regions. everyone vowed to break the link that nature denied to both worlds, and break the sceptre that spain had reclined, proudly, on both. lima fulfilled this solemn vow, and, severe, its anger showed by throwing out the powerless tyrant, who had been trying to extend his oppression. on its endeavor the shackles cracked, and the furrows that it had repaired in itself stirred up its hatred and vengeance, inherited from its inca and lord. countrymen, may we see it a slave no more. if for three centuries it moaned, humiliated, forever may we swear it'd be free, maintaining its own splendor. our arms, until today unarmed, be they always readying the cannon, that some day the beaches of iberia will feel the horror of its roar. may we arouse the jealousy of spain since it has a premonition, with want and furor, that in a contest of great nations our country will enter in comparison. on the list formed by these we shall fill the line first, ahead of the ambitious iberian tyrant, who devastated all of america. on its summits may the andes sustain the two-color flag or standard, may it announce to the centuries the effort that being free, that being free that being free gave us forever. under its shadow may we live calmly and, at birth of the sun in its summits, may we all renew the great oath that we rendered, that we rendered that we rendered to the god of jacob, that we rendered to the god of jacob, the god of jacob. we are free! may we always be so, may we always be so! and may the sun renounce its light, its light, its light, before we break the solemn vow which the homeland lifted up to the eternal, before we break the solemn vow which the homeland lifted up to the eternal. before we break the solemn vow which the homeland lifted up to the eternal.",0,Echoes of Sacred Freedom
53,Suriname,"god be with our suriname may he elevate our lovely land how we came here together we are dedicated to its soil working we keep in mind justice and truth will set free all that is good to devote oneself to will give value to our land rise countrymen, rise! the soil of suriname is calling you. wherever our ancestors came from we should take care of our country. there is a fight to fight, we shall not be afraid. god is our leader. our whole life until death, we shall fight for suriname.",3,Glorious Homeland
54,Uruguay,"orientals, our nation or the grave, liberty or with glory we die. orientals, our nation or the grave, liberty or with glory we die. its the vows that our souls pronounce and which heroically we will fulfill. its the vows that our souls pronounce and which heroically we will fulfill. we will fulfill. its the vows that our souls pronounce and which heroically we will fulfill. we will fulfill. we will fulfill. we will fulfill. we will fulfill. liberty, liberty, orientals. this is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed liberty, liberty, orientals. this is the outcry which our nation saved and its braves in fierce battles of sublime enthusiasm enflamed this holy gift of glory we deserved tyrants: tremble ! tyrants: tremble ! tyrants: tremble ! liberty in combat we will cry out! and even dying, freedom we shall also shout ! liberty in combat we will cry out! and even dying, freedom we shall also shout ! and even dying, freedom we shall also shout ! freedom we shall also shout ! freedom we shall also shout ! orientals, our nation or the grave, liberty or with glory we die. orientals, our nation or the grave, liberty or with glory we die. its the vows that our souls pronounce and which heroically we will fulfill. its the vows that our souls pronounce and which heroically we will fulfill. we will fulfill. its the vows that our souls pronounce and which heroically we will fulfill. we will fulfill. we will fulfill. we will fulfill. we will fulfill.",3,Glorious Homeland
55,Venezuela,"glory to the brave people which shook off the yoke, the law respecting virtue and honour. down with the chains! cried out the lord; and the poor man in his hovel for freedom implored. upon this holy name trembled in fear the vile selfishness that had once triumphed. glory to the brave people which shook off the yoke, the law respecting virtue and honour. let's cry out aloud:  down with oppression!  faithful countrymen, your strength lies in your unity; and from the heavens the supreme creator breathed a sublime spirit into the nation. glory to the brave people which shook off the yoke, the law respecting virtue and honour. united by bonds made by heaven, all america exists as a nation; and if tyranny raises its voice, follow the example given by caracas.",3,Glorious Homeland
56,United States of America,"oh, say can you see by the dawn's early light what so proudly we hailed at the twilight's last gleaming? whose broad stripes and bright stars through the perilous fight, o'er the ramparts we watched were so gallantly streaming? and the rocket's red glare, the bombs bursting in air, gave proof through the night that our flag was still there. oh, say does that star-spangled banner yet wave o'er the land of the free and the home of the brave? on the shore, dimly seen through the mists of the deep, where the foe's haughty host in dread silence reposes, what is that which the breeze, o'er the towering steep, as it fitfully blows, half conceals, half discloses? now it catches the gleam of the morning's first beam, in full glory reflected now shines in the stream: 'tis the star-spangled banner! oh long may it wave o'er the land of the free and the home of the brave! and where is that band who so vauntingly swore that the havoc of war and the battle's confusion, a home and a country should leave us no more! their blood has washed out their foul footsteps' pollution. no refuge could save the hireling and slave from the terror of flight, or the gloom of the grave: and the star-spangled banner in triumph doth wave o'er the land of the free and the home of the brave! oh! thus be it ever, when freemen shall stand between their loved home and the war's desolation! blest with victory and peace, may the heav'n rescued land praise the power that hath made and preserved us a nation. then conquer we must, when our cause it is just, and this be our motto: ""in god is our trust."" and the star-spangled banner in triumph shall wave over the land of the free and the home of the brave!",3,Glorious Homeland
57,Canada,"o canada! our home and native land! true patriot love thou dost in us command. we see thee rising fair, dear land, the true north, strong and free; and stand on guard, o canada, we stand on guard for thee. o canada! o canada! o canada! we stand on guard for thee, o canada! we stand on guard for thee. o canada! where pines and maples grow, great prairies spread and lordly rivers flow, how dear to us thy broad domain, from east to western sea! thou land of hope for all who toil! thou true north, strong and free! o canada! o canada! o canada! we stand on guard for thee, o canada! we stand on guard for thee. o canada! beneath thy shining skies may stalwart sons and gentle maidens rise, to keep thee steadfast through the years from east to western sea, our own beloved native land, our true north, strong and free! o canada! o canada! o canada! we stand on guard for thee, o canada! we stand on guard for thee. ruler supreme, who hearest humble prayer, hold our dominion within thy loving care. help us to find, o god, in thee a lasting, rich reward, as waiting for the better day, we ever stand on guard. o canada! o canada! o canada! we stand on guard for thee, o canada! we stand on guard for thee.",3,Glorious Homeland
58,Mexico,"mexicans, at the cry of battle lend your swords and bridle; and the earth shall tremble at its core upon the roar of the cannon. your forehead shall be girded, oh fatherland, with olive garlands by the divine archangel of peace, for in heaven your eternal destiny has been written by the hand of god. but should a foreign enemy profane your land with his sole, think, beloved fatherland, that heaven gave you a soldier in each son. war, war without truce against who would attempt to blemish the honor of the fatherland! war, war! the patriotic banners saturate in waves of blood. war, war! on the mount, in the vale the terrifying cannon thunder and the echoes nobly resound to the cries of union! liberty! fatherland, before your children become unarmed beneath the yoke their necks in sway, may your countryside be watered with blood, on blood their feet trample. and may your temples, palaces and towers crumble in horrid crash, and their ruins exist saying: the fatherland was made of one thousand heroes here. fatherland, fatherland, your children swear to exhale their breath in your cause, if the bugle in its belligerent tone should call upon them to struggle with bravery. for you the olive garlands! for them a memory of glory! for you a laurel of victory! for them a tomb of honor!",0,Echoes of Sacred Freedom
59,Guatemala,"glad joyous guatemala! may your altar never be trampled by the tormentor nor may slaves lick the yoke nor may tyrants spit upon your face if tomorrow your sacred soil by foreign invasion is threatened free into the wind, your beautiful flag to victory or death it shall call free into the wind, your beautiful flag to victory or death it shall call your people will, with fiery soul, die before being enslaved. from your old and hard chains you forged, with an ire-driven hand, the plow that fertilizes the soil and the honor-saving sword. our fathers fought one day, lit up in patriotic burning and they managed, without bloody clash, to place you on a throne of love. and they managed, without bloody clash, to place you on a throne of love, and our nation, in energetic assent, gave life to the redeeming ideal. your emblem is a piece of the sky from which a cloud gets its whiteness and woe onto him who dares in blind madness your colours to stain! for your sons, brave and zealous, who adore peace as a great treasure will never avoid the rough battle to defend their land and their home. they will never avoid the rough battle to defend their land and their home as well as the altar of the mother country, their altar. lying upon the proud ande, of the two oceans, hearing its noise, under the gold and crimson red wing of the beautiful quetzal you will become entranced. native bird that lives in your seal the protector of your soil may it fly high more than the condor and the royal eagle! may it fly high more than the condor and the royal eagle and in its wings, may it raise up to the sky guatemala, your name, immortal!",0,Echoes of Sacred Freedom
60,Cuba,"to combat, run, bayamesans! for the homeland looks proudly upon you; do not fear a glorious death, for to die for the homeland is to live. to live in chains is to live mired in shame and disgrace. hear the sound of the bugle: to arms, brave ones, run! fear not the vicious iberians, they are cowards like every tyrant. they cannot oppose the spirited cuban; their empire has forever fallen. free cuba! spain has already died, its power and pride, where did it go? hear the sound of the bugle: to arms, brave ones, run! behold our triumphant troops, behold those who have fallen. because they were cowards, they flee defeated; because we were brave, we knew how to triumph. free cuba! we can shout from the cannon's terrible boom. hear the sound of the bugle, to arms, brave ones, run!",0,Echoes of Sacred Freedom
61,Haiti,"for haiti, the country of the ancestors we must walk hand in hand there must not be traitors among us-- we alone must be our master let's walk hand in hand that haiti may be more beautiful let us put our heads together for haiti on behalf of all her ancestors for haiti on the behalf of the ancestors let us mow, let us sow. all our strength rests in the soul-- it is what feeds us. let us mound up earth, let us send water with joy, the earth must be fertile mow, water, women and men that we may live by our own arms' strength alone. for haiti and for the ancestors we must be courageous, capable men. people are not born to serve others that is why all mothers and fathers need to send children to school, to learn, to know what toussaint, dessalines, christophe, pétion did to take haitians from under the whites' boot. for haiti on the behalf of the ancestors let us raise our head and look above. let everyone to ask the lord to grant us protection that the evil angels may not divert us, that we may walk in the right path. for liberty to be able to liberate, justice must spread over the country! we have a flag like all peoples. let us love it, die for it. it was not a gift from the whites-- it was our ancestors' blood that was shed. let us hold our flag high. let us work together and focus that other countries may respect it this flag is the soul of every haitian.",0,Echoes of Sacred Freedom
62,Dominican Republic,"brave , let’s raise our song with vivid emotion, from the world to the face of the earth show our unconquered glorious banner. hail, the nation who strong and intrepid, into war launched itself set to die when in a warring challenge to the death its chains of slavery still it cut off. no people deserves to be free if it’s an indolent slave and servile; if in its chest doesn't grow the flame that forged virile heroism. but the brave and indomitable always proudly her forehead will raise for if she were a thousand times a slave this many times to be free she will know. and if fraud and cunning exposed her to disdain of an intrusive man, las carreras! beler!...were fields which covered in glory were seen. at the top of our heroic bastion, word of the free was materialized, where the genius of sanchez and duarte taught us to be free or to die. and if could inconsiderate leader reduce the luster of these glories, of the war seen in capotillo the banner of fire waves on. and the fire that leaves shocked the arrogant lion from castile, removes it from glorious beaches to where floats the banner that’s crossed. compatriots, let’s show erect our forehead, proud of today for; will be destroyed but slave again, never. that every chest is of love a sanctuary where one feels the homeland lives; it is the law her invincible shield; it is her motto be free or die. liberty that still serenely lifts up victory in her triumphal carriage. the trumpet of war still resounds proclaiming her immortal glory liberty! let the echoes agitate while full of noble anxiety our battlefields of glory repeat liberty! liberty! liberty!",3,Glorious Homeland
63,Honduras,"your flag, your flag is a piece of sky crossed, oh crossed by a dash of snow. and on its hallowed ground can be seen five stars of a pale blue. on your crest, that a clamorous sea shields with its roaring waves. beyond a volcano, beyond a volcano its top bared there's a star, there's a star of radiant light.   indian, virgin and beautiful you slept to the resounding chants of your sea, when, lying in your golden banks the bold navogator found you, and awe-struck at beholding your beauty under the perfect thrall of your charm, the blue hem of your splendid cape sanctified with his kiss of love.    of a country where the sun rises, beyond the blue atlantic, that man that had dreamed of you and set out to sea looking for you. when you raised your pale forehead, on the living anxiety of your longing, under the gentle dome of your sky a strange banner already floated.    it was useless that your beloved, the indian wrathfully prepared for the fight, because, his lempirian blood wrapped around him he sunk into the depths of night. and of the epic deed, in his memory, only the legend has been kept, the place of its burial unknown to all and the stoic profile of a crag.    for three hundred your children heard the imperative call of the master, for three centuries your useless call got lost in the blue air. but one day, glory, your ear sensed that, powerful and distant, that far away, across the atlantic, a lion roared in indignation.    it was france, the free, the heroic, that asleep in his centuries long dream, awakened, infuriated, to life at the virile call of danton, it was france, that sent forth to death the head of the consecrated king, and that built, proud at its side the altar of the goddess reason.    you too, o homeland! did rise of your deep, servile sleep and you, too, showed the world that laid in pieces the infamous link of your chain. and in your blessed soil, beyond the tall mane of the savage mountain, like a bird of black plumage, the short-lived colony was lost.    so as to keep this divine crest o homeland, we'll march into death. our luck will be generous if we die while thinking of your love, defending your sacred flag. and many, honduras, will be your dead wrapped up in your glorious folds, but all will fall with honor. https://lyricstranslate.com",0,Echoes of Sacred Freedom
64,El Salvador,"let us salute the fatherland, proud to be called its children, and let us spiritedly swear our lives to consecrate its good without rest! consecrate, consecrate of the peace in the supreme happiness ever noble el salvador dreamed to achieve this has been her eternal proposition, to keep it, her greatest glory. and with unwavering faith, the path of progress she strives to follow, to follow to fulfil her greatest destiny and conquer a happy future. a stern barrier protects her against the clash of vile disloyalty, ever since the day when her soaring flag, wrote ""liberty!"" with its blood. freedom is her dogma and her guide; a thousand times she has managed to defended it, and as many times she repelled the hateful power of atrocious tyranny. bloody and sad her story is, yet at the same time sublime and brilliant, a source of legitimate glory and a great lesson in spartan pride. her innate bravery does not waver: in every man there is an immortal hero who will know how to keep himself up to the proverbial valor of old. proverbial valor. proverbial valor. all are devoted and faithful to the tradition of warlike bravery with which they have always reaped fame by saving the motherland's honour. to respect the rights of others and base her actions on right and justice is for her, without infamous trickery, the constant and most firm ambition. and in following this line she persists, dedicating her tenacious efforts in waging hard war to war; her fortune is found in peace. is found in peace. is found in peace.",0,Echoes of Sacred Freedom
65,Nicaragua,"hail to thee, nicaragua! on thy land roars the voice of the cannon no more, nor does the blood of brothers now stain thy glorious bicolor banner. let peace shine beautifully in thy sky, and nothing dims your immortal glory, for work is thy well earned laurel and honor is thy triumphal emblem!",0,Echoes of Sacred Freedom
66,Costa Rica,"noble homeland, your beautiful flag expresses for us your life, under the limpid blue of your skies, peace reigns, white and pure. in the tenacious battle of fruitful toil, that brings a glow to men's faces, your sons, simple farm hands, gained eternal renown, esteem and honour. hail, gentle country! hail, loving mother! if anyone should attempt to besmirch your glory, you will see your people, valiant and virile, exchange their rustic tools for weapons. hail, o homeland! your prodigal soil gives us sweet sustenance and shelter. under the limpid blue of your sky, may peaceful labour ever continue.",3,Glorious Homeland
67,Panama,"at last we reached victory in the joyous field of the union; with ardent fires of glory a new nation is alight. it is necessary to cover with a veil the past times of calvary and cross; let now the blue skies be adorned with the splendid light of the concord. progress caresses your path. to the rhythm of a sublime song, you see both your seas roar at your feet giving you a path to your noble mission. in your soil covered with flowers to the kisses of the warm terrestrial breeze, warrior roars have ceased; only fraternal love reigns. ahead the shovel and pick, at work without any more dilation, and we will be as such at work and gala of this fruitful world of columbus.",2,A Child’s Voice
68,Puerto Rico,"the land of borinquen where i have been born is a flowery garden of magical beauty. a constantly clear sky serves as its canopy and placid lullabies are sung by the waves at its [borinquen's] feet. when at her beaches columbus arrived full of awe he exclaimed, ""oh!, oh!, oh!, this is the lovely land that i seek"" borinquen is the daughter, the daughter of the sea and the sun. of the sea and the sun, of the sea and the sun, of the sea and the sun, of the sea and the sun.",1,O Motherly Nature
69,Jamaica,"eternal father bless our land guard us with thy mighty hand keep us free from evil powers be our light through countless hours to our leaders, great defender, grant true wisdom from above justice, truth be ours forever jamaica, land we love jamaica, jamaica, jamaica, land we love teach us true respect for all stir response to duty's call strengthen us the weak to cherish give us vision lest we perish knowledge send us, heavenly father, grant true wisdom from above justice, truth be ours forever jamaica, land we love jamaica, jamaica, jamaica, land we love.",3,Glorious Homeland
70,Trinidad and Tobago,"forged from the love of liberty in the fires of hope and prayer with boundless faith in our destiny we solemnly declare: side by side we stand islands of the blue caribbean sea, this our native land we pledge our lives to thee. here every creed and race find an equal place, and may god bless our nation here every creed and race find an equal place, and may god bless our nation.",0,Echoes of Sacred Freedom
71,Bahamas,"lift up your head to the rising sun,  march on to glory, your bright banners waving high. see how the world marks the manner of your bearing! pledge to excel through love and unity. pressing onward, march together to a common loftier goal; steady sunward, tho' the weather hide the wide and treacherous shoal. lift up your head to the rising sun,  'til the road you've trod lead unto your god",0,Echoes of Sacred Freedom
72,Belize,"o, land of the free by the carib sea, our manhood we pledge to thy liberty! no tyrants here linger, despots must flee this tranquil haven of democracy the blood of our sires which hallows the sod, brought freedom from slavery, oppression's rod by the might of truth, and the grace of god, no longer shall we be hewers of wood. arise! ye sons of the baymen's clan, put on your armour, clear the land! drive back the tyrants, let despots flee - land of the free by the carib sea! nature has blessed thee with wealth untold, o'er mountains and valleys where prairies roll; our fathers, the baymen, valiant and bold drove back the invader; this heritage hold from proud rio hondo to old sarstoon, through coral isle, over blue lagoon; keep watch with the angels, the stars and moon; for freedom comes tomorrow's noon.",1,O Motherly Nature
73,Barbados,"in plenty and in time of need when this fair land was young our brave forefathers sowed the seed from which our pride was sprung a pride that makes no wanton boast of what it has withstood that binds our hearts from coast to coast the pride of nationhood we loyal sons and daughters all do hereby make it known these fields and hills beyond recall are now our very own we write our names on history's page with expectations great strict guardians of our heritage firm craftsmen of our fate the lord has been the people's guide for past three hundred years. with him still on the people's side we have no doubts or fears. upward and onward we shall go, inspired, exulting, free, and greater will our nation grow in strength and unity.",3,Glorious Homeland
74,Saint Lucia,"sons and daughters of saint lucia, love the land that gave us birth. land of beaches, hills and valleys, fairest isle of all the earth! wheresoever you may roam, love oh love, our island home. gone the times when nations battled for this ' helen of the west '. gone the days when strife and discord dimmed her children's toil and rest. dawns at last a brighter day, stretches out a glad new way. may the good lord bless our island, guard her sons from woe and harm. may our people live united, strong in soul and strong in arm. justice, truth and charity, our ideal forever be!",0,Echoes of Sacred Freedom
75,Grenada,"hail! grenada, land of ours, we pledge ourselves to thee, heads, hearts and hands in unity to reach our destiny. ever conscious of god, being proud of our heritage, may we with faith and courage aspire, build, advance as one people, one family. god bless our nation.",3,Glorious Homeland
76,Antigua and Barbuda,"fair antigua and barbuda! we thy sons and daughters stand strong and firm in peace or danger to safeguard our native land we commit ourselves to building a true nation brave and free; ever striving, ever seeking, dwell in love and unity raise the standard! raise it boldly! answer now to duty's call to the service of thy country, sparing nothing, giving all; gird your loins and join the battle 'gainst fear, hate and poverty, each endeavouring, all achieving, live in peace where man is free. god of nations, let thy blessings fall upon this land of ours; rain and sunshine ever sending, fill her fields with crops and flowers; we her children do implore thee, give us strength, faith, loyalty, never failing, all enduring to defend her liberty.",3,Glorious Homeland
77,Dominica,"isle of beauty, isle of splendour, isle to all so sweet and fair, all must surely gaze in wonder at thy gifts so rich and rare. rivers, valleys, hills and mountains, all these gifts we do extol. healthy land, so like all fountains, giving cheer that warms the soul. dominica, god hath blest thee with a clime benign and bright, pastures green and flowers of beauty filling all with pure delight, and a people strong and healthy, full of godly reverent fear. may we ever seek to praise thee for these gifts so rich and rare. come ye forward, sons and daughters of this gem beyond compare. strive for honour, sons and daughters, do the right, be firm, be fair. toil with hearts and hands and voices. we must prosper! sound the call, in which ev'ryone rejoices, ""all for each and each for all.""",0,Echoes of Sacred Freedom
78,Bermuda,"hail to bermuda, my island in the sun. sing out in glory to the nation we've become. we've grown from heart to heart, and strength to strength, the privilege is mine to sing long live bermuda, because this island's mine! hail to bermuda, my homeland dear to me. this is my own land built on faith and unity. we've grown from heart to heart and strength to strength, for loyalty is prime so sing long live bermuda, because this island's mine!",3,Glorious Homeland
79,Greenland,"our country, which has become so old your head is all covered with white hair. always held us, your children, in your bosom and gave us the riches of your coasts. as middle children in the family we blossomed here we want to call ourselves before your proud and honourable head. humbleness is not the course, wake up and be proud! a dignified life is our goal; courageously take a stand",2,A Child’s Voice
80,Australia,"australians all let us rejoice for we are young and free we've golden soil and wealth for toil, our home is girt by sea our land abounds in nature's gifts of beauty, rich and rare in history's page let every stage advance australia fair, in joyful strains then let us sing ""advance australia fair!"" beneath our radiant southern cross, we'll toil with hearts and hands, to make this commonwealth of ours renowned of all the lands, for those who've across the seas we've boundless plains to share, with courage let us all combine to advance australia fair, in joyful strains then let us sing, advance australia fair!",3,Glorious Homeland
81,Papua New Guinea,"o arise all you sons of this land, let us sing of our joy to be free, praising god and rejoicing to be papua new guinea. shout our name from the mountains to the seas papua new guinea; let us raise our voices and proclaim papua new guinea. now give thanks to the good lord above for his kindness, his wisdom and love for this land of our fathers so free, papua new guinea. shout again for the whole world to hear papua new guinea; we are independent and we're free papua new guinea.",1,O Motherly Nature
82,New Zealand,"god of nations at thy feet, in the bonds of love we meet, hear our voices, we entreat, god defend our free land. guard pacific's triple star from the shafts of strife and war, make her praises heard afar, god defend new zealand. men of every creed and race, gather here before thy face, asking thee to bless this place, god defend our free land. from dissension, envy, hate, and corruption guard our state, make our country good and great, god defend new zealand. peace, not war, shall be our boast, but, should foes assail our coast, make us then a mighty host, god defend our free land. lord of battles in thy might, put our enemies to flight, let our cause be just and right, god defend new zealand. let our love for thee increase, may thy blessings never cease, give us plenty, give us peace, god defend our free land. from dishonour and from shame, guard our country's spotless name, crown her with immortal fame, god defend new zealand. may our mountains ever be freedom's ramparts on the sea, make us faithful unto thee, god defend our free land. guide her in the nations' van, preaching love and truth to man, working out thy glorious plan, god defend new zealand.",3,Glorious Homeland
83,Fiji,"blessing grant oh god of nations on the isles of fiji as we stand united under noble banner blue and we honour and defend the cause of freedom ever onward march together god bless fiji for fiji, ever fiji, let our voices ring with pride for fiji, ever fiji, her name hails far and wide, a land of freedom, hope and glory, to endure what ever befalls may god bless fiji forever more! blessing grant, oh god of nations, on the isles of fiji shores of golden sand and sunshine, happiness and song stand united, we of fiji, fame and glory ever onward march together god bless fiji.",0,Echoes of Sacred Freedom
84,Solomon Islands,"god save our solomon islands from shore to shore blessed all our people and all our lands with your protecting hands joy, peace, progress and prosperity that men shall brothers be, make nations see our solomon islands, our solomon islands our nation solomon islands stands forever more.",0,Echoes of Sacred Freedom
85,Vanuatu,"we are, we are, we are happy to proclaim we are, we are, we are the people of vanuatu god has given us this land, we are grateful for this, we are strong and we are free in this land, we are all brothers! many customs of before we have, many customs from today, but we are all one, despite our many ways! we know there is plenty of work to be done, on all our many islands, god helps us in our work, he is our father!",1,O Motherly Nature
86,Samoa,"samoa, arise and raise your flag, your crown! samoa, arise and raise your flag, your crown! look at those stars that are waving on it: this is the symbol of jesus, who died on it for samoa. oh, samoa, hold fast your power forever. do not be afraid; god is our foundation, our freedom. samoa, arise: your flag is waving, your crown!",0,Echoes of Sacred Freedom
87,Kiribati,"stand up, people of kiribati! sing with jubilation! prepare to accept responsibility and to help each other! be steadfastly righteous! love all our people! be steadfastly righteous! love all our people! the attainment of contentment and peace by our people will be achieved when all our hearts beat as one, love two another! promote happiness and unity! love one another! promote happiness and unity! we beseech you, o god, to protect and lead us in the days to come. help us with your loving hand. bless our government and all our people! bless our government and all our people!",1,O Motherly Nature
88,Federated States of Micronesia,"this here we are pledging, with heart and with hand, full measure of devotion to thee, our native land. now all join the chorus, let union abide. across all micronesia join hands on every side. we all work together, with hearts, voice and hand, till we have made these islands another promised land.",3,Glorious Homeland
89,Tonga,"oh almighty god above thou art our lord and sure defense as your people, we trust thee and our tonga thou dost love hear our prayer for thou unseen we know that thou hath blessed our land grant our earnest supplication god save our king.",1,O Motherly Nature
